BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
MAXCAK	8752	pos	M{BRANCH_CODE}_01
MAXCAK	8754	pos	M{BRANCH_CODE}_01
MAXCAK	8771	pos	M{BRANCH_CODE}_01
MAXCAK	8772	pos	M{BRANCH_CODE}_01
MAXICD	2951	pos	M{BRANCH_CODE}_01
MAXTPW	2955	pos	M{BRANCH_CODE}_01
SBSSBS	4488	pos	M{BRANCH_CODE}
SBSSBS	4485	pos	M{BRANCH_CODE}
MAXEUR	1293	pos	M{BRANCH_CODE}
MAXEUR	1331	pos	M{BRANCH_CODE}
MAXEUR	1335	pos	M{BRANCH_CODE}
MZLEUR	1361	pos	M{BRANCH_CODE}
MZLEUR	1362	pos	M{BRANCH_CODE}
MZLEUR	1363	pos	M{BRANCH_CODE}
MZLEUR	1381	pos	M{BRANCH_CODE}
MZLEUR	1382	pos	M{BRANCH_CODE}
MZLEUR	1383	pos	M{BRANCH_CODE}
MZLEUR	1385	pos	M{BRANCH_CODE}
MZLEUR	1386	pos	M{BRANCH_CODE}
MZLEUR	1387	pos	M{BRANCH_CODE}
MZLEUR	1388	pos	M{BRANCH_CODE}
MAXCAN	6155	pos	M{BRANCH_CODE}
MAXCEN	4870	pos	M{BRANCH_CODE}_01
MAXMGM	9177	pos	M{BRANCH_CODE}_01
MZLBPD	9562	pos	M{BRANCH_CODE}_01
MAXEUR	1289	pos	M{BRANCH_CODE}
MAXEUR	1336	pos	M{BRANCH_CODE}_01
MAXCAK	3249	pos	M{BRANCH_CODE}_01
MAXCAK	3296	pos	M{BRANCH_CODE}_01
MAXCAK	3297	pos	M{BRANCH_CODE}_01
MAXCAK	3298	pos	M{BRANCH_CODE}_01
MAXCAK	3304	pos	M{BRANCH_CODE}_01
MAXCAK	3307	pos	M{BRANCH_CODE}_01
MAXCAK	3308	pos	M{BRANCH_CODE}_01
MAXCAK	3309	pos	M{BRANCH_CODE}_01
MAXCAK	3311	pos	M{BRANCH_CODE}_01
MAXCAK	3312	pos	M{BRANCH_CODE}_01
MAXCAK	3313	pos	M{BRANCH_CODE}_01
MAXCAK	3314	pos	M{BRANCH_CODE}_01
MAXCAK	3315	pos	M{BRANCH_CODE}_01
MAXCAK	3316	pos	M{BRANCH_CODE}_01
MAXCAK	3320	pos	M{BRANCH_CODE}_01
MAXCAK	3322	pos	M{BRANCH_CODE}_01
MAXCAK	3323	pos	M{BRANCH_CODE}_01
MAXCAK	3324	pos	M{BRANCH_CODE}_01
MAXCAK	3325	pos	M{BRANCH_CODE}_01
MAXCAK	3326	pos	M{BRANCH_CODE}_01
MAXCAK	3327	pos	M{BRANCH_CODE}_01
MAXCAK	3351	pos	M{BRANCH_CODE}_01
MAXCAK	3352	pos	M{BRANCH_CODE}_01
MAXCAK	3353	pos	M{BRANCH_CODE}_01
MAXCAK	3355	pos	M{BRANCH_CODE}_01
MAXCAK	3356	pos	M{BRANCH_CODE}_01
MAXCAK	3357	pos	M{BRANCH_CODE}_01
MAXCAK	3373	pos	M{BRANCH_CODE}_01
MAXCAK	3405	pos	M{BRANCH_CODE}_01
MAXCAK	3408	pos	M{BRANCH_CODE}_01
MAXCAK	3409	pos	M{BRANCH_CODE}_01
MAXCAK	3410	pos	M{BRANCH_CODE}_01
MAXCAK	3413	pos	M{BRANCH_CODE}_01
MAXCAK	3414	pos	M{BRANCH_CODE}_01
MAXCAK	3416	pos	M{BRANCH_CODE}_01
MAXCAK	3417	pos	M{BRANCH_CODE}_01
MAXCAK	3420	pos	M{BRANCH_CODE}_01
MAXCAK	3421	pos	M{BRANCH_CODE}_01
